Rk,player,win_pct,ts_pct,ws,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
201,Gordon Hayward,0.704,0.598,4.3,33.2,6.7,4.1,0.7,0.5,17.3
206,Tyler Herro,0.648,0.535,1,27.7,4,2,0.6,0.2,13.1
209,Buddy Hield,0.389,0.563,2.6,33.4,5,3.2,0.9,0.3,20.4
214,Jrue Holiday,0.418,0.521,2.6,34.7,4.7,6.5,1.7,0.9,19.3
217,Richaun Holmes,0.389,0.692,4.6,29.4,8.5,1,1.1,1.4,13.1
218,Rodney Hood,0.446,0.625,1.1,29.5,3.4,1.5,0.8,0.2,11
219,Al Horford,0.618,0.519,4.1,30.9,6.7,3.9,0.9,0.9,12
221,Danuel House,0.63,0.57,3,31,4.5,1.3,1.1,0.6,10.6
224,Kevin Huerter,0.268,0.545,1.1,30.3,4.1,3.4,0.8,0.5,12.3
225,De'Andre Hunter,0.268,0.516,-0.1,31.6,4,1.8,0.8,0.3,12.2
227,Serge Ibaka,0.727,0.597,3.5,27.2,8,1.4,0.5,0.8,16.1
230,Joe Ingles,0.667,0.58,3.9,30.1,4,5.2,0.9,0.1,10
231,Brandon Ingram,0.418,0.6,4.6,34.1,6.4,4.2,1,0.7,24.9
232,Kyrie Irving,0.472,0.595,3,32.9,5.2,6.4,1.4,0.5,27.4
233,Jonathan Isaac,0.436,0.542,2.4,29.7,6.9,1.4,1.6,2.4,12
236,Jaren Jackson,0.518,0.59,3,28.1,4.8,1.4,0.7,1.7,17.1
239,Reggie Jackson,0.333,0.492,0.4,27.2,2.9,5.1,0.6,0.1,14.9
241,LeBron James,0.774,0.569,7.5,34.9,7.8,10.8,1.3,0.4,25
252,Nikola Jokić,0.691,0.597,8,32.5,10.2,6.9,1.2,0.7,20.6
259,Frank Kaminsky,0.4,0.554,1.4,22.4,4.9,2.2,0.4,0.3,11
261,Luke Kennard,0.333,0.589,2,32.9,3.5,4.1,0.4,0.2,15.8
273,Kyle Kuzma,0.774,0.537,1.4,24.7,4.4,1.3,0.4,0.4,12.6
275,Jeremy Lamb,0.582,0.556,2.6,28.7,4.4,2.1,1.2,0.5,12.9
277,Zach LaVine,0.345,0.573,4.2,34.5,4.8,4.1,1.4,0.5,25.3
279,Jake Layman,0.302,0.539,0.2,26.4,2.9,0.8,0.9,0.7,10.5
283,Damion Lee,0.218,0.542,1.3,27.9,4.9,2.5,1,0.1,12
285,Kawhi Leonard,0.673,0.579,5.9,32.5,7.5,5.3,1.8,0.7,27.2
287,Caris LeVert,0.472,0.491,0.1,27.3,3.6,3.6,0.9,0.2,15.3
288,Damian Lillard,0.446,0.621,9.3,37,4.4,7.9,1,0.3,29.5
291,Brook Lopez,0.852,0.537,4,26.8,4.5,1.6,0.7,2.6,10.6
293,Kevin Love,0.259,0.602,3,31.3,9.8,3,0.6,0.3,17.7
294,Kyle Lowry,0.727,0.587,5.6,36.5,4.7,7.6,1.2,0.4,19.6
304,Lauri Markkanen,0.345,0.56,2.5,30.3,6.5,1.5,0.8,0.5,15
313,CJ McCollum,0.446,0.534,2.4,35.7,3.9,3.8,0.7,0.6,21.3
316,Doug McDermott,0.582,0.618,2.6,20.6,2.6,1.1,0.1,0.1,10.4
321,Ben McLemore,0.63,0.609,2.5,23.6,2.2,0.9,0.6,0.2,10.2
322,Jordan McRae,0.727,0.526,0.8,21.9,3.5,2.8,0.6,0.5,12.2
326,Khris Middleton,0.852,0.624,6.5,29.6,6.1,4.3,1,0.1,20.4
330,Patty Mills,0.426,0.592,2.3,23.1,1.6,1.9,0.8,0.1,11.7
331,Paul Millsap,0.691,0.594,3,24.4,5.9,1.6,0.9,0.7,12.1
333,Donovan Mitchell,0.667,0.561,4.7,34.4,4.3,4.3,1.1,0.2,24.3
339,Ja Morant,0.518,0.568,2.8,29.9,3.5,7.1,1,0.3,17.6
341,Marcus Morris,0.727,0.579,3.1,32.3,5.4,1.4,0.8,0.4,19
342,Markieff Morris,0.333,0.573,1.1,22.5,3.9,1.6,0.6,0.3,11
346,Dejounte Murray,0.426,0.548,2.4,24.6,5.8,4,1.6,0.3,10.4
347,Jamal Murray,0.691,0.557,3.6,32.3,3.9,4.8,1.2,0.3,18.9
361,Kendrick Nunn,0.648,0.529,1.6,30,2.7,3.5,0.9,0.2,15.3
370,Vic0.727 Oladipo,0.582,0.426,-0.2,25,2,2.9,0.6,0.1,11.1
373,Cedi Osman,0.259,0.553,1.2,28.9,3.4,2.3,0.8,0.3,10.8
374,Kelly Oubre,0.4,0.566,3.7,34.4,6.6,1.5,1.2,0.7,18.9
377,Jabari Parker,0.268,0.565,1.2,26.2,6,1.8,1.3,0.5,15
379,Eric Paschall,0.218,0.554,1.4,26.7,4.7,1.7,0.6,0.2,13.2
383,Chris Paul,0.6,0.607,7.1,31.8,5,6.7,1.6,0.1,17.4
395,Otto Porter,0.345,0.544,0.5,25.1,3.4,1.6,1,0.3,11.2
397,Kristaps Porziņģis,0.6,0.537,3.1,30.5,9.1,1.5,0.7,1.9,18.4
399,Norman Powell,0.727,0.623,3.3,28.2,3.9,1.7,1.3,0.4,15.3
400,Julius Randle,0.309,0.529,1.9,32.8,9.6,3.2,0.8,0.3,19.3
403,J.J. Redick,0.418,0.645,3.6,27.2,2.6,2,0.4,0.2,15.7
405,Josh Richardson,0.618,0.538,1.9,30.8,3.2,3.2,0.9,0.6,14.6
407,Duncan Robinson,0.648,0.665,4,29.1,3.2,1.4,0.5,0.2,12.6
408,Glenn Robinson,0.727,0.576,2.3,30.8,4.6,1.7,0.9,0.3,12.7
414,Derrick Rose,0.333,0.556,2.6,26.2,2.5,5.8,0.8,0.3,18.2
415,Terrence Ross,0.436,0.521,1.7,26.8,3,1.1,1.1,0.4,13.4
416,Terry Rozier,0.333,0.546,2.2,34.2,4.5,4.1,1,0.2,17.8
417,Ricky Rubio,0.4,0.507,2.6,31.3,4.4,8.6,1.4,0.2,12.3
418,D'Angelo Russell,0.727,0.561,1.6,32.2,3.7,6.3,1,0.3,23.6
419,Domantas Sabonis,0.582,0.587,6.2,34.6,12.5,4.8,0.7,0.5,18.3
